clinic_private,address,lat,lon
A.I.E.D.,"Flor Silvestre, de campomo, Iztapalapa, 09609 Ciudad de México, CDMX, Mexico",,
AcércateFem Aeropuerto,"Calle oriente 170, Número 310, Colonia Venustiano Carranza, Venustiano Carranza",,
AcércateFem Coyoacán,"Cerro de La Juvencia 116, Campestre Churubusco, Coyoacán",,
AcércateFem Navarte,"Calle Palenque 336, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",,
AcércateFem Norte,"Poniente 110 306, Defensores de la República, Gustavo A. Madero, 07770 Ciudad de México, CDMX, Mexico",,
Apprile Clínica,"Calle Xochicalco No.65 Colonia Narvarte, Del. Benito Juárez, CDMX, CP 03020.",,
ASISTAMED,"Av. Talismán 38-22, Col. Estrella, Gustavo A. Madero, 07000 Ciudad de México, CDMX, Mexico",,
Atención cálida ECOFEM Iztapalapa,"Ermita Iztapalapa 2720, Santa Cruz Meyehualco, Iztapalapa, 09290 Ciudad de M�xico, CDMX",,
Atención cálida ECOFEM Zaragoza,"Calzada Ignacio Zaragoza 2300 Zona Urbana Ejidal Santa Martha Acatitla Norte, 09800  Ciudad de Mexico, Iztapalapa, CDMX.",,
cálida ECOFEM Ampliación Santiago,"Calle Flor de Campomo 46. Colonia Segunda Ampliación Santiago Acahualtepec, Iztapalapa, 09609, CDMX.",,
Centro de Salud Yashué Aeropuerto,"Calz. Ignacio Zaragoza 176, Moctezuma 1ra Secc, Venustiano Carranza, 15500 Ciudad de México, CDMX",,
Centro Médico Mujer,"Av. Baja California 111 B, Colonia Roma, Cuauhtémoc",,
"CIPA Coyoacán, Acompañame","Canal de Miramontes 2342, Coapa, Avante, Coyoacán, 04460 Ciudad de México, CDMX, Mexico",,
"CIPA Cuauhtémoc, Acompañame","Calz. de la Viga 371, Asturias, Cuauhtémoc, 06850 Ciudad de México, CDMX, Mexico",,
CISAR Mujer,"Dr.Jose Terres 86-66, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",,
Clínica Enlace,,,
Clínica Ginecea,"Av Ejército Nacional 161, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",,
Clínica Mexfam La Villa,"Talara 103, Tepeyac Insurgentes, Gustavo A. Madero, 07020 Ciudad de México, CDMX, Mexico",,
Clínica Mexfam Revolución,"Ponciano Arriaga 28, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico",,
Clínica Mexfam XOLA,"Calz. de Tlalpan 648A, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, Mexico",,
Clínica SARI,"Avenida de los Montes 60, Portales Sur, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico",,
Clínicas Enlace de Interrupción del Embarazo,,,
Clínicas Fem,"Calle Venturina 28, Col. Estrella, Gustavo A. Madero, 07810 Ciudad de México, CDMX, Mexico",,
Consultorio CIDEC,"Puerto Acapulco 98-90, Casas Alemán, Gustavo A. Madero, 07580 Ciudad de México, CDMX, Mexico",,
Centro Dalia y Gaia,"Avenida 16 Número 74 General, Ignacio Zaragoza, Venustiano Carranza, 15000 CDMX, Mexico",,
CIFEM,"Gutenberg 61, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",,
Especialistas en ILE Aeropuerto,"Calle 3, No. 67, Valentín Gómez Farías, C.P. 15010, CDMX, México",,
Femilemm,"Ingenieros 50-26, Escandón I Secc, Miguel Hidalgo, Ciudad de México, CDMX, Mexico",,
Femisana Womens Clinic,"Orizaba 18, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",,
FemyCENTER,"Matanzas 645-A, Lindavista, Gustavo A. Madero, 07300 Ciudad de México, CDMX, Mexico",,
Fundación ILE Polanco,,,
Fundación ILE Roma,,,
Fundación Médica Integral,"Av. Baja California 218, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",,
Fundación Médica Integral,,,
Fundación Naiset Aeropuerto,,,
Fundación Naiset Roma,,,
Fundación Naiset Taxqueña,,,
Fundación Naiset Terminal Norte,,,
Fundación Naiset Terminal Observatorio,,,
Fundación Naiset Terminal Tapo,,,
Ginecafem,"Frambuesa 192, Colonia Nueva Santa María, Azcapotzalco",,
Gineclinic,"Calzada Santa Anita 148 B, Colonia Viaducto Piedad, Iztacalco",,
GINELEM A.C.,"Bajío 369 Col. Hipódromo Condesa, Cuauhtémoc, 06100 Ciudad de M�xico, CDMX",,
Gineser,"Salina Cruz 54, Colonia Roma Sur, Cuauhtémoc",,
Healthy Fem Medica Ginecológica,,,
ILE Mujer,,,
Marie Stopes Aragón,"Plaza Morazán, Av. Hank González Esq. Con Francisco Morazán Col. San Juan de Aragón Del. Gustavo A. Madero, C.P. 07918, Ciudad de México",,
Marie Stopes Azcapotzalco,"Av. 22 de Febrero #345 1er. piso. Col. Azcapotzalco Centro, Del. Azcapotzalco, C.P. 02000, Ciudad de México.",,
Marie Stopes Centro Histórico,"Bolívar 21, Centro, CP 06000, Delegación Cuauhtémoc, CDMX",,
Marie Stopes Coyoacán,"Av Miguel Ángel de Quevedo #1098 Col. Parque San Andrés, Del. Coyoacán, C.P. 04040, Ciudad de México.",,
Marie Stopes Ermita,,,
Marie Stopes Lindavista,,,
Marie Stopes Pedregal,"Periférico Sur #4829 Col. Parques del Pedregal, Del. Tlalpan, C.P. 14010, Ciudad de México.",,
Marie Stopes Polanco,,,
Marie Stopes Roma (Manzanillo),"Manzanillo #49 Col. Roma Sur, Del. Cuauhtémoc, C.P. 06760, Ciudad de México.",,
Marie Stopes Toreo,"Centro Comercial Pericentro Blvd. Manuel Ávila Camacho #681 C.P. 11220; Miguel Hidalgo, CDMX",,
Marie Stopes Condesa,"Calle Atlixco # 12 Col. Condesa Del. Cuauhtémoc 06140 Ciudad de México, CDMX",,
Medica Center FEM,"Calle Venturina 28, Col. Estrella, Gustavo A. Madero, 07810 Ciudad de México, CDMX, Mexico",,
Medica Espacio Fem,,,
Obstetricia Integral,,,
Profem,"Dr José María Vertiz 158, Doctores, Cuauhtémoc, 06720",,
Profem Platinum,,,
Promedica Mujer,"Avenida Baja California 111 B, Colonia Roma, Cuauhtémoc",,
Servicios de Salud Medieg A.C.,"Calle Gabriel Mancera 803, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",,
Unidades Médicas de la Mujer Consulado,"Av. Rio Consulado 1448, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX, Mexico",,
Unidades Médicas de la Mujer Tlalpan,"Calz. San Antonio Abad 296-B, Asturias, Cuauhtémoc, 06860 Ciudad de México, CDMX, Mexico",,
