clinic_private,address,latitude,longitude,type,confidence
A.I.E.D.,"Flor Silvestre, de campomo, Iztapalapa, 09609 Ciudad de México, CDMX, Mexico",19.35108,-99.01603,RoadBlock,High
AcércateFem Aeropuerto,"Calle oriente 170, Número 310, Colonia Venustiano Carranza, Venustiano Carranza",28.63983,-100.55133,Address,High
AcércateFem Coyoacán,"Cerro de La Juvencia 116, Campestre Churubusco, Coyoacán",19.34033,-99.137,Address,High
AcércateFem Navarte,"Calle Palenque 336, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.3858,-99.15277,Address,High
AcércateFem Norte,"Poniente 110 306, Defensores de la República, Gustavo A. Madero, 07770 Ciudad de México, CDMX, Mexico",19.475271224975586,-99.14308166503906,Neighborhood,Medium
Apprile Clínica,"Calle Xochicalco No.65 Colonia Narvarte, Del. Benito Juárez, CDMX, CP 03020.",19.38984,-99.16646,RoadBlock,High
ASISTAMED,"Av. Talismán 38-22, Col. Estrella, Gustavo A. Madero, 07000 Ciudad de México, CDMX, Mexico",19.4754,-99.11164,Address,High
Atención cálida ECOFEM Iztapalapa,"Ermita Iztapalapa 2720, Santa Cruz Meyehualco, Iztapalapa, 09290 Ciudad de M�xico, CDMX",,,,
Atención cálida ECOFEM Zaragoza,"Calzada Ignacio Zaragoza 2300 Zona Urbana Ejidal Santa Martha Acatitla Norte, 09800  Ciudad de Mexico, Iztapalapa, CDMX.",19.339242935180664,-99.1066665649414,Postcode1,Medium
cálida ECOFEM Ampliación Santiago,"Calle Flor de Campomo 46. Colonia Segunda Ampliación Santiago Acahualtepec, Iztapalapa, 09609, CDMX.",19.35517,-99.00219,RoadBlock,High
Centro de Salud Yashué Aeropuerto,"Calz. Ignacio Zaragoza 176, Moctezuma 1ra Secc, Venustiano Carranza, 15500 Ciudad de México, CDMX",19.42318,-99.10171,Address,High
Centro Médico Mujer,"Av. Baja California 111 B, Colonia Roma, Cuauhtémoc",32.6036,-114.93288,Address,High
"CIPA Coyoacán, Acompañame","Canal de Miramontes 2342, Coapa, Avante, Coyoacán, 04460 Ciudad de México, CDMX, Mexico",19.32657,-99.13665,Address,High
"CIPA Cuauhtémoc, Acompañame","Calz. de la Viga 371, Asturias, Cuauhtémoc, 06850 Ciudad de México, CDMX, Mexico",43.292354583740234,-5.993384838104248,AdminDivision1,Medium
