clinic_private,address,latitude,longitude,type,confidence
A.I.E.D.,"Flor Silvestre, de campomo, Iztapalapa, 09609 Ciudad de México, CDMX, Mexico",19.35108,-99.01603,RoadBlock,High
AcércateFem Aeropuerto,"Calle oriente 170, Número 310, Colonia Venustiano Carranza, Venustiano Carranza",28.63983,-100.55133,Address,High
AcércateFem Coyoacán,"Cerro de La Juvencia 116, Campestre Churubusco, Coyoacán",19.34033,-99.137,Address,High
AcércateFem Navarte,"Calle Palenque 336, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.3858,-99.15277,Address,High
AcércateFem Norte,"Poniente 110 306, Defensores de la República, Gustavo A. Madero, 07770 Ciudad de México, CDMX, Mexico",19.43267822265625,-99.13420867919922,PopulatedPlace,Medium
Apprile Clínica,"Calle Xochicalco No.65 Colonia Narvarte, Del. Benito Juárez, CDMX, CP 03020.",19.38984,-99.16646,RoadBlock,High
ASISTAMED,"Av. Talismán 38-22, Col. Estrella, Gustavo A. Madero, 07000 Ciudad de México, CDMX, Mexico",19.47542,-99.11161,Address,High
Atención cálida ECOFEM Iztapalapa,"Calzada Ermita Iztapalapa 2720 esq Calle 33 Col. Sta. Cruz Meyehualco, Iztapalapa. CDMX",14.268389701843262,121.39757537841797,PopulatedPlace,Medium
Atención cálida ECOFEM Zaragoza,"Calzada Ignacio Zaragoza 2300 Zona Urbana Ejidal Santa Martha Acatitla Norte. Iztapalapa, CDMX.",19.358591079711914,-99.0934066772461,AdminDivision2,Medium
cálida ECOFEM Ampliación Santiago,Calle Flor de Campomo 46. Colonia 2a Ampliación Santiago Acahualtepec. C.P. 09609. Iztapalapa CDMX.,51.09328079223633,10.380292892456055,CountryRegion,Medium
Centro de Salud Yashué Aeropuerto,"Calz. Ignacio Zaragoza 176, Moctezuma 1ra Secc, Venustiano Carranza, 15500 Ciudad de México, CDMX",19.42318,-99.10171,Address,High
Centro Médico Mujer,"Av. Baja California 111 B, Colonia Roma, Cuauhtémoc",32.6036,-114.93288,Address,High
"CIPA Coyoacán, Acompañame","Canal de Miramontes 2342, Coapa, Avante, Coyoacán, 04460 Ciudad de México, CDMX, Mexico",19.32657,-99.13665,Address,High
